CustomerKey,FirstName,LastName,FullName,Gender,DateFirstPurchase,CustomerCity
11000,Jon,Yang,Jon Yang,M,2020-01-19,Rockhampton
11001,Eugene,Huang,Eugene Huang,M,2020-01-15,Seaford
11002,Ruben,Torres,Ruben Torres,M,2020-01-07,Hobart
11003,Christy,Zhu,Christy Zhu,F,2019-12-29,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,F,2020-01-23,Wollongong
11005,Julio,Ruiz,Julio Ruiz,M,2019-12-30,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,F,2020-01-24,Matraville
11007,Marco,Mehta,Marco Mehta,M,2020-01-09,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,F,2020-01-25,Bendigo
11009,Shannon,Carlson,Shannon Carlson,M,2020-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,F,2020-01-14,East Brisbane
11011,Curtis,Lu,Curtis Lu,M,2019-12-30,East Brisbane
11012,Lauren,Walker,Lauren Walker,F,2022-03-16,Bremerton
11013,Ian,Jenkins,Ian Jenkins,M,2022-04-13,Lebanon
11014,Sydney,Bennett,Sydney Bennett,F,2022-03-23,Redmond
11015,Chloe,Young,Chloe Young,F,2022-01-18,Burbank
11016,Wyatt,Hill,Wyatt Hill,M,2022-02-09,Imperial Beach
11017,Shannon,Wang,Shannon Wang,F,2020-01-12,Sunbury
11018,Clarence,Rai,Clarence Rai,M,2020-01-17,Bendigo
11019,Luke,Lal,Luke Lal,M,2022-02-12,Langley
11020,Jordan,King,Jordan King,M,2021-12-29,Metchosin
11021,Destiny,Wilson,Destiny Wilson,F,2022-01-23,Beaverton
11022,Ethan,Zhang,Ethan Zhang,M,2022-01-20,Bellingham
11023,Seth,Edwards,Seth Edwards,M,2022-02-17,Bellflower
11024,Russell,Xie,Russell Xie,M,2022-06-27,Concord
11025,Alejandro,Beck,Alejandro Beck,M,2020-01-06,Hawthorne
11026,Harold,Sai,Harold Sai,M,2020-01-23,Goulburn
11027,Jessie,Zhao,Jessie Zhao,M,2020-01-16,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,F,2020-01-26,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,M,2020-01-19,Bendigo
11030,Bethany,Yuan,Bethany Yuan,F,2020-02-05,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,F,2020-02-01,Matraville
11032,Denise,Stone,Denise Stone,F,2020-02-18,Melbourne
11033,Jaime,Nath,Jaime Nath,M,2020-02-15,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,F,2020-02-01,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,F,2020-02-06,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,F,2022-01-22,National City
11037,Chloe,Garcia,Chloe Garcia,F,2022-01-20,Cliffside
11038,Diana,Hernandez,Diana Hernandez,F,2020-02-07,Lavender Bay
11039,Marc,Martin,Marc Martin,M,2020-02-07,Wollongong
11040,Jesse,Murphy,Jesse Murphy,M,2022-04-03,Tacoma
11041,Amanda,Carter,Amanda Carter,F,2022-01-14,Glendale
11042,Megan,Sanchez,Megan Sanchez,F,2022-01-21,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,M,2022-05-08,Glendale
11044,Adam,Flores,Adam Flores,M,2020-02-28,Hervey Bay
11045,Leonard,Nara,Leonard Nara,M,2022-04-10,Matraville
11046,Christine,Yuan,Christine Yuan,F,2020-02-06,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,F,2020-02-03,Geelong
11048,Jeremy,Powell,Jeremy Powell,M,2020-02-10,Sunbury
11049,Carol,Rai,Carol Rai,F,2022-03-09,Chula Vista
11050,Alan,Zheng,Alan Zheng,M,2020-02-20,Hobart
11051,Daniel,Johnson,Daniel Johnson,M,2022-12-29,Caloundra
11052,Heidi,Lopez,Heidi Lopez,F,2020-02-17,Matraville
11053,Ana,Price,Ana Price,F,2022-01-17,San Diego
11054,Deanna,Munoz,Deanna Munoz,F,2020-02-03,Geelong
